Date,Close/Last,Open,High,Low
04/12/2024,16175.09,16293.03,16341.45,16125.33
04/11/2024,16442.20,16236.20,16464.60,16154.65
04/10/2024,16170.36,16104.01,16200.10,16092.02
04/09/2024,16306.64,16328.76,16348.18,16141.15
04/08/2024,16253.96,16285.18,16323.60,16220.72
04/05/2024,16248.52,16095.40,16326.50,16080.48
04/04/2024,16049.08,16418.57,16468.04,16046.56
04/03/2024,16277.46,16178.80,16340.74,16169.31
04/02/2024,16240.45,16199.24,16251.41,16137.24
04/01/2024,16396.83,16397.05,16490.65,16327.89
03/28/2024,16379.46,16377.23,16420.92,16347.38
03/27/2024,16399.52,16424.76,16431.82,16279.17
03/26/2024,16315.70,16446.85,16476.38,16312.95
03/25/2024,16384.47,16335.30,16441.17,16315.72
03/22/2024,16428.82,16387.83,16467.62,16361.00
03/21/2024,16401.84,16517.24,16538.86,16393.90
03/20/2024,16369.41,16185.76,16377.44,16127.48
03/19/2024,16166.79,16031.93,16175.59,15951.86
03/18/2024,16103.45,16154.92,16247.59,16094.17
03/15/2024,15973.17,16043.58,16055.33,15925.91
